komentar,like,waktu,komentar_clean,sentimen
yg dulu buburain rapat dpr ruu tni,1032,2026-03-13 17:58:55 UTC,yg buburain rapat dpr ruu tni,netral
podcast tentang DE-MILITER-ISASI udah paham kan pelakunya siapa ???,923,2026-03-13 18:05:31 UTC,podcast demiliterisasi udah paham pelakunya,negatif
"Beliau aktivis HAM, kak. Beliau jg yang menggrebek saat rapat RUU TNI di Fairmont. We all know lah ya siapa pelakunya.",834,2026-03-13 19:27:30 UTC,beliau aktivis ham kak beliau jg menggrebek rapat ruu tni fairmont we all know ya pelakunya,negatif
bisa aja karna dendam kayak kasus si agus,258,2026-03-13 17:54:55 UTC,aja karna dendam kayak si agus,netral
tahun lalu dia menerobos ke hotel fairmont pas pembahasan RUU TNI yang dibuat tertutup,173,2026-03-13 19:27:15 UTC,menerobos hotel fairmont pas pembahasan ruu tni tertutup,netral
NAH SETUJU SOALNYA AKTIVIS,150,2026-03-13 18:37:28 UTC,setuju aktivis,positif
"kak tau kbar 2org tua yg rumahnya d masuki org gk d knal smpe krtis gak si? pdhl tggl d prumahan yg ada stpamanya,yg kunci mobilnya ilangbsmua itu korban ktanya abis dr podcast siapa gt bahas pjabat itu lgsh nywa taruhanya 😭",128,2026-03-13 19:43:42 UTC,kak tau kbar org tua yg rumahnya d masuki org gk d knal smpe krtis gak si pdhl tggl d prumahan yg stpamanyayg kunci mobilnya ilangbsmua korban ktanya abis dr podcast gt bahas pjabat lgsh nywa taruhanya,netral
bisa jadi persaingan urusan kantor,52,2026-03-13 17:45:49 UTC,persaingan urusan kantor,netral
aktifis ham dan pernah nolak ruu tni,26,2026-03-13 19:52:03 UTC,aktifis ham nolak ruu tni,netral
bukannya beliau yg waktu itu grebek DPR yang rapat diem diem di hotel? cmiiw ya,21,2026-03-13 19:39:53 UTC,beliau yg grebek dpr rapat diem diem hotel cmiiw ya,netral
jadi orang bener di republik ini taruhan nya nyawa,12,2026-03-14 06:51:17 UTC,orang bener republik taruhan nya nyawa,netral
"Aktivis yang menggugat UU TNI, tau lah pelaku nya dari mana 😂😂😂",8,2026-03-13 21:42:39 UTC,aktivis menggugat uu tni tau pelaku nya,negatif
Ada posisi nya tidak aman ketika bang andre menyampaikan kebenaran.,6,2026-03-14 05:44:14 UTC,posisi nya aman bang andre kebenaran,positif
ya jmn sekrg yg jjur nyawanya d ujung org dzolim,3,2026-03-14 09:23:51 UTC,ya jmn sekrg yg jjur nyawanya d ujung org dzolim,netral
"beliau wakil koor KontraS bang, salah satu foundernya adalah Alm Munir. bang Andrie adalah aktivis HAM yg vokal dan kritis bgt",156,2026-03-13 19:05:13 UTC,beliau wakil koor kontras bang salah foundernya alm munir bang andrie aktivis ham yg vokal kritis bgt,netral
"mksd nya kasus bsr apa ya,?",2,2026-03-15 19:38:46 UTC,mksd nya bsr ya,netral
"Kemungkinan besar soal penyimpangan bisnis atau korupsi yang lagi beliau soroti. Di kasus kayak gini, air keras bukan cuma soal dendam, tapi soal menutup mulut orang yang tahu terlalu banyak",1,2026-03-16 01:40:06 UTC,penyimpangan bisnis korupsi beliau soroti kayak gini air keras dendam menutup mulut orang,negatif
ini pelaku penyiraman itu sebarkn biar cpt ditangkap,1,2026-03-15 22:29:42 UTC,pelaku penyiraman sebarkn biar cpt ditangkap,negatif
"Beliau aktivis, sangat vocal menyuarakan suara rakyat.. udah tau kan pelakunya siapa.",1,2026-03-14 21:08:41 UTC,beliau aktivis vocal menyuarakan suara rakyat udah tau pelakunya,negatif
orang orang sekarang pada kenapa sih???,63107,2026-03-13 20:03:49 UTC,orang orang sih,netral
pemerintahnya !! polisi skrg bersahabat sama penjahat,3218,2026-03-13 20:36:33 UTC,pemerintahnya polisi skrg bersahabat penjahat,negatif
pemerintah kak..bukan orang2!!,953,2026-03-13 20:05:50 UTC,pemerintah kakbukan orang,negatif
gada otak nya ka,336,2026-03-13 20:05:55 UTC,gada otak nya ka,netral
"dia penggugat RUU TNI, org nyiram itu ada tujuan gasi?",53,2026-03-13 21:32:48 UTC,penggugat ruu tni org nyiram tujuan gasi,netral
"suruhan pemerintah itu kak, dia aktivias ham yang lantang terhadap UU TNI baru baru ini, udh jelas banget siapa dalang di balik ini",51,2026-03-13 23:52:50 UTC,suruhan pemerintah kak aktivias ham lantang uu tni udh banget dalang,negatif
orang suruhan. dulu malah lebih,44,2026-03-13 20:32:18 UTC,orang suruhan,negatif
PEMERINTAHAN* sekarang pada kayak pantek,39,2026-03-13 20:52:29 UTC,pemerintahan kayak pantek,negatif
iya ya pada kenapa si,33,2026-03-14 00:11:42 UTC,iya ya si,netral
pada nganggur makanya jahat,15,2026-03-13 21:07:00 UTC,nganggur jahat,negatif
Itu kan org pemerintah yg suruh,5,2026-03-13 23:45:46 UTC,org pemerintah yg suruh,negatif
ternyata orang jahat yg di film indosiar itu nyata ya,5,2026-03-13 22:11:26 UTC,orang jahat yg film indosiar nyata ya,negatif
"ga sekarang aja sih kak, orang jahat itu udah ada dari dulu. aktivis dikriminalisasi itu banyak,ingat munir ? sum kuning ? marsinah ?soe hok gie ? dan kasus ini mirip sama novel baswedan (ketua kpk) setelah sholat subuh beliau disiram air keras diwajahnya sampe matanya rusak sebelah. danyg lebih kocak pelakunya cuman dipenjara 6bulan.",4,2026-03-14 00:39:08 UTC,ga aja sih kak orang jahat udah aktivis dikriminalisasi banyakingat munir sum kuning marsinah soe hok gie novel baswedan ketua kpk sholat subuh beliau disiram air keras diwajahnya sampe matanya rusak sebelah danyg kocak pelakunya cuman dipenjara,negatif
lah dari jaman dlu kali dzolim semua,4,2026-03-13 22:07:04 UTC,jaman dlu kali dzolim,netral
"takut bgt ya ka, lebih takut sama manusia dari pada setan😢",114,2026-03-13 20:54:18 UTC,takut bgt ya ka takut manusia setan,netral
"benr kak,jaman sekrng yng di tktin manusia di bandingin setan,udh tau klo setan pasti seram,apa lgi manusia lebih seram lagi dri setan.",1,2026-03-13 22:43:55 UTC,benr kakjaman sekrng yng tktin manusia bandingin setanudh tau klo setan seramapa lgi manusia seram dri setan,netral
@￴￴gita @nayy,0,2026-03-14 00:23:45 UTC,gita,netral
dan yang disiram adalah aktivis anjirrr makin curiga kannn,0,2026-03-16 10:23:00 UTC,disiram aktivis anjirrr curiga kannn,netral
Sebarkan,0,2026-03-16 08:48:58 UTC,sebarkan,netral
"Soalny didunia ini kek dicerita2 dracin kak, bnyak org jahat yg g mau dileser kekuasaanny. Alurny kek dracin, tp nasib korban bnyak yg berakhir ke tuhan. Tp ya nnti di akhir si bakal di sangsi, soalny klo di sini g akan mungkin adil 😭🙏",0,2026-03-16 08:23:39 UTC,soalny didunia kek dicerita dracin kak bnyak org jahat yg g dileser kekuasaanny alurny kek dracin tp nasib korban bnyak yg tuhan tp ya nnti si sangsi soalny klo g adil,negatif
pada kesurupan iblis,0,2026-03-15 21:26:47 UTC,kesurupan iblis,netral
motif nya apa ya klo boleh tau?,1268,2026-03-13 17:41:01 UTC,motif nya ya klo tau,netral
saran mending hapus komen ini karna ga sesuai sama konteks,514,2026-03-13 17:46:17 UTC,saran mending hapus komen karna ga sesuai konteks,netral
apanya yang ga sesuai,8,2026-03-13 18:46:28 UTC,apanya ga sesuai,netral
"ada yg becanda dikomen tadi ""motif batik"" trus gua tegur trus dia hapus, makanya di kalian ga keliatan komen nya",73,2026-03-13 18:51:02 UTC,yg becanda dikomen motif batik trus gua tegur trus hapus ga keliatan komen nya,netral
peduli apa dngo,2,2026-03-13 18:53:07 UTC,peduli dngo,netral
Maksudnya motip batik itu apa ya,0,2026-03-13 19:05:50 UTC,maksudnya motip batik ya,netral
"tadi ada orang yang komen ""motif batik kak"" buat aku negur karna bukan waktu nya bercanda, trus komen dia dihapus makanya pada salah paham, penjelasan nya udah ku ketik baca aja dibawah",9,2026-03-13 19:07:41 UTC,orang komen motif batik kak negur karna nya bercanda trus komen dihapus salah paham penjelasan nya udah ku ketik baca aja dibawah,netral
"kayanya pada salah sangka dehhh, padahal lu cuma jelasin klo di atas ada yg bales komen ""motif batik"" tapi malah orang orang sewotnya sama lu kak",3,2026-03-13 19:09:01 UTC,kayanya salah sangka dehhh lu jelasin klo yg bales komen motif batik orang orang sewotnya lu kak,netral
Ya Allah kak km kok sabar banget padahal udah jelasin diulang” tp mereka yg ga paham” 😂,1,2026-03-13 19:57:11 UTC,ya allah kak km sabar banget udah jelasin diulang tp yg ga paham,positif
"iya kak, sorry ya 🙏",21,2026-03-13 17:54:37 UTC,iya kak sorry ya,netral
[Sticker] “motif batik”,12,2026-03-13 18:52:48 UTC,sticker motif batik,netral
"iya kak gapapa cma lebih baik tau tempat soalnya disini ada korban, jgn dibecandai",45,2026-03-13 17:57:02 UTC,iya kak gapapa cma tau korban jgn dibecandai,netral
"maksutnya korban apa, maksutnya gimana, dia kan cuma tanya, salah dimana, maksut lu gimana",14,2026-03-13 18:44:07 UTC,maksutnya korban maksutnya gimana salah dimana maksut lu gimana,netral
komen apaan?,0,2026-03-13 18:45:00 UTC,komen,netral
"ada komen tdi yg dihapus isi nya ""motif batik"" kok gua yg diserang dah",18,2026-03-13 18:48:37 UTC,komen tdi yg dihapus isi nya motif batik gua yg diserang dah,netral
"""motif batik"" dia komen itu trus gua tegur, malah gua yg disalahin😭",16,2026-03-13 18:50:37 UTC,motif batik komen trus gua tegur gua yg disalahin,netral
motif itu maksud nya tujuan / akar masalah yang menyebabkan pelaku melakukan tindak kriminal itu bukan motif batik kocak,12,2026-03-13 18:52:45 UTC,motif maksud nya tujuan akar menyebabkan pelaku tindak kriminal motif batik kocak,negatif
"hadeh pahami lgi komennya, itu dia replay komen org yg udh di hapus",12,2026-03-13 19:02:54 UTC,hadeh pahami lgi komennya replay komen org yg udh hapus,netral
udah di apus makanya pada salah paham🤣,2,2026-03-13 19:05:36 UTC,udah apus salah paham,netral
Maksud yg ngetik motif batik. Udh dihapus. Km lihat nath itu reply ke siapa.,5,2026-03-13 19:05:55 UTC,maksud yg ngetik motif batik udh dihapus km lihat nath reply,netral
"sudah bang biarin gak tau tanda. """"""""""""😭🤣",3,2026-03-13 19:12:02 UTC,bang biarin gak tau tanda,netral
tujuannya apasi?,2173,2026-03-13 17:27:47 UTC,tujuannya apasi,netral
idk,9,2026-03-13 17:29:47 UTC,idk,netral
klo gtau ngapain reply kocak.,667,2026-03-13 17:30:40 UTC,klo gtau ngapain reply kocak,netral
ngebungkam pengkritik pemerenta,519,2026-03-13 17:31:52 UTC,ngebungkam pengkritik pemerenta,netral
"biasanya ada masalah pribadi kak, entah orang sekitar kerjaan atau orang rumah, pake joki bayaran",120,2026-03-13 17:32:32 UTC,pribadi kak orang kerjaan orang rumah pake joki bayaran,netral
membungkam aktivis kak,73,2026-03-13 17:35:22 UTC,membungkam aktivis kak,netral
"dia salah satu aktivis yang suka mengkritik pemerintah, jadi tau dong ini krn apa",57,2026-03-13 17:39:56 UTC,salah aktivis suka mengkritik pemerintah tau krn,negatif
ada yg nyuruh lah tau lah tau lah ini negrri biadab yg berkuasa yg biadab,33,2026-03-13 17:34:31 UTC,yg nyuruh tau tau negrri biadab yg berkuasa yg biadab,negatif
"Kontras tuh media anti pemerintah, mungkin ada postingan kontras yg menyinggung atau terlalu vokal dengan masalah di Indonesia, jadi tujuannya ya buat membungkam media kontras",27,2026-03-13 17:35:42 UTC,kontras tuh media anti pemerintah postingan kontras yg menyinggung vokal indonesia tujuannya ya membungkam media kontras,negatif
"tujuannya adalah membungkam para aktivis, sebelum kejadian ini pasti udah ada ancaman2 untuk blio. pasti dalang di kasus ini ya orang2 ""berpengaruh"" yang kasusnya sedang disuarakan.",13,2026-03-13 17:40:47 UTC,tujuannya membungkam aktivis kejadian udah ancaman blio dalang ya orang berpengaruh kasusnya disuarakan,negatif
masih di selidiki motif nya apa ka,5,2026-03-13 17:35:23 UTC,selidiki motif nya ka,netral
"KontraS itu salah satu media yg sangat vokal mengkritik pemerintah, jadi you know lah ini ulah siapa, membungkam kebenaran dengan cara mencelakai aktivis:)",2,2026-03-13 17:59:59 UTC,kontras salah media yg vokal mengkritik pemerintah you know ulah membungkam kebenaran mencelakai aktivis,positif
kemungkinanannya ya krn ganggu pemerintah dan elit² . beliau kan aktivis yg kmrin bersuara d gedung DPR tuh pas rapat RUU TNI,1,2026-03-14 07:37:52 UTC,kemungkinanannya ya krn ganggu pemerintah elit beliau aktivis yg kmrin bersuara d gedung dpr tuh pas rapat ruu tni,negatif
"@𝒜:Beliau salah satu aktivis HAM kak, pernah menggrebek saat dpr rapat RUU TNI di Fairmont, sudah jelas ya seharusnya motif terjadinya penyiraman ini.",1,2026-03-13 19:32:07 UTC,beliau salah aktivis ham kak menggrebek dpr rapat ruu tni fairmont ya motif penyiraman,netral
perselingkuhan/cemburu/hutang/jabatan,1,2026-03-13 17:32:40 UTC,perselingkuhancemburuhutangjabatan,netral
Fiks ada yg nyuruh itu maah ada yg bencii kynya deh sama korbann,0,2026-03-16 15:49:52 UTC,fiks yg nyuruh maah yg bencii kynya deh korbann,negatif
iya,0,2026-03-15 18:09:43 UTC,iya,netral
mau culik motornya aku udah liat full dia datang balik yang siram waktu itu pemjahat nya pegi sama temen nya temen nya naik motor yang baru dorang culik,0,2026-03-15 09:17:48 UTC,culik motornya udah liat full siram pemjahat nya pegi temen nya temen nya motor dorang culik,negatif
wkwk tnya pelaku nya kak klau tanya orang2 tiktok mereka juga tidak tahu apa2 hanya menebak ini itu tnpa tahu fakta😁,0,2026-03-14 21:11:49 UTC,wkwk tnya pelaku nya kak klau orang tiktok menebak tnpa fakta,negatif
gausah dijawab kalo gatau sok banget 😹,0,2026-03-14 20:43:03 UTC,gausah kalo gatau sok banget,netral
"dia aktivis ham, baru aja podcast tentang keterlibatan tni di politik, emang belum terbukti kaitannya, tapi bisa aja",0,2026-03-14 18:45:58 UTC,aktivis ham aja podcast keterlibatan tni politik emang terbukti kaitannya aja,netral
Somebody explain? What happened?,35,2026-03-14 22:36:32 UTC,somebody explain what happened,netral
Someone threw acid on a person. It could kill them or leave them permanently disabled. The victim screamed in pain because the acid was burning their body,83,2026-03-14 22:38:42 UTC,someone threw acid on a person it could kill them or leave them permanently disabled the victim screamed in pain because the acid was burning their body,netral
he was splashed with acid by an unknown person,8,2026-03-14 22:38:24 UTC,he was splashed with acid by an unknown person,netral
he got sprayed by some very hard/got water,2,2026-03-14 22:37:55 UTC,he got sprayed by some very hardgot water,netral
bro was attacked by Knife in Throat,0,2026-03-14 22:37:45 UTC,bro was attacked by knife in throat,netral
P,0,2026-03-14 22:37:21 UTC,p,netral
splashed with acid,1,2026-03-14 22:37:58 UTC,splashed with acid,netral
Are you bored?🗿,0,2026-03-14 22:38:03 UTC,are you bored,netral
He is a human rights activist who was splashed with acid in the face by Indonesian army,0,2026-04-19 05:23:43 UTC,he is a human rights activist who was splashed with acid in the face by indonesian army,netral
"The video contains about Andrie Yunus, the Deputy Coordinator of KontraS (a major human rights NGO). he was targeted in a brutal acid attack by two unidentified men while riding his motorcycle and leaving him with severe chemical burns over 24% of his body. The assault occurred shortly after he left a meeting discussing military laws",7,2026-03-14 22:54:24 UTC,the video contains about andrie yunus the deputy coordinator of kontras a major human rights ngo he was targeted in a brutal acid attack by two unidentified men while riding his motorcycle and leaving him with severe chemical burns over of his body the assault occurred shortly after he left a meeting discussing military laws,netral
"serius nnya, itu gunanya apa si?",4645,2026-03-13 17:43:35 UTC,serius nnya gunanya si,netral
"bikin kulit meleleh seperti kebakar, jadi lu kan itu seperti luka bakar, yang kalo kena itu kepanasan",1752,2026-03-13 17:47:39 UTC,bikin kulit meleleh kebakar lu luka bakar kalo kena kepanasan,netral
intinya kena kulit langsung meleleh,674,2026-03-13 17:46:57 UTC,intinya kena kulit langsung meleleh,netral
tèror,170,2026-03-13 17:45:09 UTC,tror,netral
"komen apaan siih.. guna apa nya, dia di siram air keras. ko nanya gunany apa?",49,2026-03-13 17:50:37 UTC,komen siih nya siram air keras ko nanya gunany,netral
kalu untuk bidang mas.. gunanya untuk mnhancurkan emas ..yg bercampur tembaga besi......,43,2026-03-13 18:17:00 UTC,kalu bidang mas gunanya mnhancurkan emas yg bercampur tembaga besi,netral
air keras itu asam yang tinggi biasanya buat bersih bersih kerak lantai gitu tapi kalau kena kulit ya gitu bisa kebakar,32,2026-03-13 18:12:54 UTC,air keras asam bersih bersih kerak lantai gitu kena kulit ya gitu kebakar,netral
"air keras banyak contohnya, dan satu senyawa juga ada banyak konsentrasi nya, sebenarnya udah dipelajari dipelajaran kimia SMA",25,2026-03-13 18:18:54 UTC,air keras contohnya senyawa konsentrasi nya udah dipelajari dipelajaran kimia sma,netral
air keras byk jenis ny setahuku bg tp yg kutau cma air aki,14,2026-03-13 17:54:27 UTC,air keras byk jenis ny setahuku bg tp yg kutau cma air aki,netral
"Air keras itu asam sulfat H2so bahan baku air accu zuur, kena kulit bisa melepuh kalo kehirup sesek napas langsung",11,2026-03-13 18:30:44 UTC,air keras asam sulfat hso bahan baku air accu zuur kena kulit melepuh kalo kehirup sesek napas langsung,netral
buat besi karat,7,2026-03-13 17:52:19 UTC,besi karat,netral
air keras itu kalo kena muka aja bsa bkin muka hncur bhkan klo kena mata bsa smpe buta,6,2026-03-13 18:37:30 UTC,air keras kalo kena muka aja bsa bkin muka hncur bhkan klo kena mata bsa smpe buta,netral
Klo lu tau kasusnya si Agus yang dlu sempet ada urusan sama teh novi & deny sumargo. Ya kira kira kyk gtu efeknya yg mna klo kena mata bisa nyebabkan kebuta*n dan klo kena kulit melepuh,6,2026-03-13 18:32:45 UTC,klo lu tau kasusnya si agus dlu sempet urusan teh novi deny sumargo ya kyk gtu efeknya yg mna klo kena mata nyebabkan kebutan klo kena kulit melepuh,netral
"gada gunanya bang, yg ada bkin kulit ancur.. belom klo kena mata bisa buta",3,2026-03-13 18:37:30 UTC,gada gunanya bang yg bkin kulit ancur belom klo kena mata buta,netral
hanya konten jgn baper,1,2026-03-13 19:35:43 UTC,konten jgn baper,netral
Apalah.,2,2026-03-14 22:38:20 UTC,apalah,netral
"Nebar teror, ada suatu kasus berita yg sedang ramai atau akan ramai jika diangkat",2,2026-03-14 05:47:44 UTC,nebar teror berita yg ramai ramai diangkat,netral
batu marmer bila di siram air keras luruh dan tergerus,2,2026-03-13 18:47:08 UTC,batu marmer siram air keras luruh tergerus,netral
"air keras jangan kan muka , besi aja meleleh dan kalau di siram ke paku putus",2,2026-03-13 18:35:56 UTC,air keras muka besi aja meleleh siram paku putus,netral
indonesia tidak mau ada org jujur dinegara ini,2,2026-03-13 18:16:38 UTC,indonesia org jujur dinegara,netral
serius ga tau air keras? kebanyakan ngewibu,1,2026-03-14 09:44:39 UTC,serius ga tau air keras kebanyakan ngewibu,netral
"yaa allah, cape cape pulang kerja 🥺",103098,2026-03-13 18:50:16 UTC,yaa allah cape cape pulang kerja,netral
sakit hati banget lihatnya😭💔,3926,2026-03-13 18:59:24 UTC,sakit hati banget lihatnya,negatif
iya kasian ngeliat kesakitan orang nya kak sakit banget liatnya ya Allah 🥺,1540,2026-03-13 19:28:23 UTC,iya kasian ngeliat kesakitan orang nya kak sakit banget liatnya ya allah,netral
kayaknya sampe melepuh dan berdarah 😭😭,616,2026-03-13 19:43:27 UTC,kayaknya sampe melepuh berdarah,netral
"pasti ank istrinya lgi nunggu mlh ...dianiyaya
g tega aku liatnya yaa Alloh",300,2026-03-13 20:47:21 UTC,ank istrinya lgi nunggu mlh dianiyaya g tega liatnya yaa alloh,negatif
"beuhh bukan main itu kalo kena air keras,setetes aja udh kaya kebakar",84,2026-03-13 20:45:42 UTC,beuhh main kalo kena air kerassetetes aja udh kaya kebakar,netral
iya betul ko aneh nya ko bisa tepat gitu ya,27,2026-03-15 13:14:11 UTC,iya ko aneh nya ko gitu ya,netral
@audies @myya stiia kasian banget mukanya merah,22,2026-03-13 20:32:32 UTC,stiia kasian banget mukanya merah,netral
iyaa anjir 😭😭 kek ah elah org tu jahat bgtt,12,2026-03-14 04:38:20 UTC,iyaa anjir kek ah elah org tu jahat bgtt,negatif
mungkin ada mslah sbelumnya😳,19,2026-03-13 20:41:19 UTC,mslah sbelumnya,netral
aktivis katanya kak menentang ruu tni coba scroll ada yang komen,8,2026-03-14 04:23:35 UTC,aktivis kak menentang ruu tni coba scroll komen,netral
ya Allah ada ada aj si itu orang baru pulang kerja di jahatin .,2,2026-03-15 09:38:47 UTC,ya allah aj si orang pulang kerja jahatin,negatif
Assalamu'alaikum Warahmatullahi Wabarakatuh,1,2026-03-16 15:26:25 UTC,assalamualaikum warahmatullahi wabarakatuh,netral
Kalau Menyebut Nama Allah SWT ❤ Huruf A Besar Depan Nya jadi Nya Allah SWT Allah Allahuakbar ❤ Ngasi Tau YA Allah SWT Allah Allahuakbar ❤,1,2026-03-16 15:26:18 UTC,menyebut nama allah swt huruf a nya nya allah swt allah allahuakbar ngasi tau ya allah swt allah allahuakbar,netral
Assalamu'alaikum Warahmatullahi Wabarakatuh,1,2026-03-16 15:25:20 UTC,assalamualaikum warahmatullahi wabarakatuh,netral
sama ihh ya allah teriakannya 🥺,7,2026-03-13 21:00:59 UTC,ihh ya allah teriakannya,netral
kesian pls,1,2026-03-16 14:29:34 UTC,kesian pls,netral
sumpah sama mbak kasian skali 🥲,19,2026-03-13 19:59:37 UTC,sumpah mbak kasian skali,netral
aku nyesek gk berhenti istigfr😭😭😭,4,2026-03-14 07:12:55 UTC,nyesek gk berhenti istigfr,netral
yaa Allah ...selamatkan korban dan tolong beri kesembuhan serta rizki berlimpah utk siapapun yg di zholimi. tabahksn dan beri kesabaran yg luas utknya jg keluarganya yg pasti sangat bersedih,107,2026-03-13 19:32:17 UTC,yaa allah selamatkan korban tolong kesembuhan rizki berlimpah utk yg zholimi tabahksn kesabaran yg luas utknya jg keluarganya yg bersedih,positif
am still looking for English comments,407,2026-03-14 21:12:53 UTC,am still looking for english comments,netral
"it's a terror using chemical substances like Mercury (I guess) on the activist who is ""too"" outspoken against the current militant and oppressive regime",60,2026-03-14 21:19:54 UTC,its a terror using chemical substances like mercury i guess on the activist who is too outspoken against the current militant and oppressive regime,netral
